epoch,loss,val_loss
0,11.258989524841308,7.216366641375483
1,6.207214117050171,5.508188575303474
0,5.185285487767295,3.5039561686872625
0,4.940247085176665,3.288863042584893
1,3.0567068919034646,2.797978936409464
2,2.80672606861419,2.7024017466979773
3,2.74633666547658,2.625844939225385
4,2.7242807775455584,2.642711692926835
0,2.9663740164065833,2.615479973708691
1,2.5618569090616305,2.488427718480428
2,2.4838025132428525,2.414321701542861
3,2.4232456435366987,2.389527463588585
4,2.39682016834136,2.3893386344520415
5,2.3705346864029018,2.3368823706698256
6,2.3553116556181726,2.324559289581922
7,2.34632776168307,2.3227401347387406
8,2.3456263002912987,2.3839206452272377
9,2.3386004981135,2.315230437687465
10,2.3288483638094286,2.3077811075716603
